,learning_rate,batch_size,num_epochs,hidden_units,avg_val_loss
0,0.01,128,50,16,0.19744344304005304
1,0.01,128,50,32,0.162515290081501
2,0.01,128,100,16,0.18525438445309797
3,0.01,128,100,32,0.1359652765095234
4,0.01,64,50,16,0.1957202178115646
5,0.01,64,50,32,0.14655700760583082
6,0.01,64,100,16,0.1548841210703055
7,0.01,64,100,32,0.11532423148552577
8,0.01,32,50,16,0.17771725273794595
9,0.01,32,50,32,0.14142000195052887
10,0.01,32,100,16,0.13701965212821962
11,0.01,32,100,32,0.10310653075575828
12,0.005,128,50,16,0.22480732326706251
13,0.005,128,50,32,0.20251276840766272
14,0.005,128,100,16,0.20376613611976305
15,0.005,128,100,32,0.15509883500635624
16,0.005,64,50,16,0.1927755232900381
17,0.005,64,50,32,0.18258262611925602
18,0.005,64,100,16,0.16782823763787746
19,0.005,64,100,32,0.14335308286050955
20,0.005,32,50,16,0.1686040975981288
21,0.005,32,50,32,0.14376360409789615
22,0.005,32,100,16,0.1519189362724622
23,0.005,32,100,32,0.1179156396124098
24,0.001,128,50,16,0.3415191248059273
25,0.001,128,50,32,0.3069431632757187
26,0.001,128,100,16,0.2593967306117217
27,0.001,128,100,32,0.23516570404171944
28,0.001,64,50,16,0.29381773931284744
29,0.001,64,50,32,0.24324011337012053
30,0.001,64,100,16,0.22398251543442407
31,0.001,64,100,32,0.21846053500970206
32,0.001,32,50,16,0.2561051923367712
33,0.001,32,50,32,0.2386079294814004
34,0.001,32,100,16,0.22958149098687705
35,0.001,32,100,32,0.18982055890891283
